driver,lap_number,lap_time,position
23,28.0,69.271,5.0
23,29.0,68.703,5.0
23,30.0,68.618,5.0
23,31.0,68.703,5.0
23,32.0,68.593,5.0
23,33.0,68.734,5.0
23,34.0,68.722,5.0
23,35.0,68.678,5.0
23,36.0,68.774,5.0
23,37.0,68.88,5.0
23,38.0,69.007,5.0
23,39.0,68.827,5.0
23,40.0,69.12,5.0
23,41.0,69.085,5.0
23,42.0,68.743,5.0
23,43.0,68.637,5.0
23,44.0,68.584,5.0
23,45.0,68.432,4.0
23,46.0,80.622,4.0
23,47.0,109.417,5.0
23,48.0,113.584,5.0
23,49.0,97.29,5.0
23,50.0,99.511,5.0
23,51.0,114.081,5.0
23,52.0,116.349,5.0
23,53.0,111.006,5.0
23,54.0,101.457,4.0
23,55.0,96.508,4.0
23,56.0,76.768,13.0
23,57.0,70.174,13.0
23,58.0,69.61,13.0
23,59.0,69.92,13.0
23,60.0,70.521,13.0
23,61.0,70.859,13.0
23,62.0,70.182,12.0
23,63.0,,
7,1.0,80.781,17.0
7,2.0,73.309,17.0
7,3.0,72.098,17.0
7,4.0,71.372,17.0
7,5.0,71.92,17.0
7,6.0,71.893,17.0
7,7.0,71.771,17.0
7,8.0,71.941,17.0
7,9.0,,19.0
7,10.0,71.366,19.0
7,11.0,71.588,18.0
7,12.0,71.213,17.0
7,13.0,70.375,16.0
7,14.0,70.752,16.0
7,15.0,70.727,15.0
7,16.0,70.57,15.0
7,17.0,70.713,15.0
7,18.0,70.898,15.0
7,19.0,74.725,16.0
7,20.0,103.423,16.0
7,21.0,113.799,16.0
7,22.0,83.601,16.0
7,23.0,73.482,16.0
7,24.0,90.605,16.0
7,25.0,102.148,16.0
7,26.0,70.779,15.0
7,27.0,70.997,15.0
7,28.0,70.4,15.0
7,29.0,70.188,15.0
7,30.0,70.332,15.0
7,31.0,70.355,15.0
7,32.0,70.007,15.0
7,33.0,70.336,15.0
7,34.0,70.496,15.0
7,35.0,70.158,15.0
7,36.0,69.962,15.0
7,37.0,70.013,15.0
7,38.0,69.952,15.0
7,39.0,69.4,14.0
7,40.0,69.973,14.0
7,41.0,69.432,14.0
7,42.0,69.062,14.0
7,43.0,69.031,14.0
7,44.0,69.417,14.0
7,45.0,69.384,13.0
7,46.0,90.453,13.0
7,47.0,108.39,13.0
7,48.0,87.815,13.0
7,49.0,,
63,1.0,81.596,19.0
63,2.0,73.736,19.0
63,3.0,72.334,19.0
63,4.0,71.594,19.0
63,5.0,71.724,19.0
63,6.0,72.13,19.0
63,7.0,72.152,19.0
63,8.0,71.784,19.0
63,9.0,,20.0
63,10.0,71.563,20.0
63,11.0,71.674,19.0
63,12.0,71.538,18.0
63,13.0,71.186,18.0
63,14.0,71.053,18.0
63,15.0,71.21,18.0
63,16.0,71.014,17.0
63,17.0,70.891,17.0
63,18.0,71.039,17.0
63,19.0,71.106,17.0
63,20.0,79.305,15.0
63,21.0,134.065,15.0
63,22.0,83.33,15.0
63,23.0,73.15,15.0
63,24.0,90.313,15.0
63,25.0,102.414,15.0
63,26.0,71.215,14.0
63,27.0,70.962,14.0
63,28.0,70.317,14.0
63,29.0,70.148,14.0
63,30.0,70.107,14.0
63,31.0,70.393,14.0
63,32.0,70.312,14.0
63,33.0,70.236,14.0
