driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Valtteri Bottas,1.0,92.846,1.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,2.0,91.384,1.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,3.0,91.656,1.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,4.0,91.562,1.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,5.0,92.275,1.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,6.0,92.752,1.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,7.0,92.153,1.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,8.0,92.574,1.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,9.0,92.636,1.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,10.0,92.583,1.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,11.0,92.673,1.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,12.0,92.503,1.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,13.0,91.947,1.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,14.0,111.03,6.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,15.0,90.971,4.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,16.0,90.85,3.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,17.0,91.761,3.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,18.0,91.558,3.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,19.0,92.038,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
