driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Esteban Ocon,56.0,57.542,3.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,57.0,58.515,4.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,58.0,57.698,4.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,59.0,57.552,4.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,60.0,57.695,4.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,61.0,67.862,4.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,62.0,75.063,4.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,63.0,78.201,3.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,64.0,91.165,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,65.0,89.872,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,66.0,94.418,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,67.0,86.591,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,68.0,82.462,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,69.0,57.663,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,70.0,57.431,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,71.0,57.361,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,72.0,57.582,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,73.0,58.233,3.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,74.0,57.514,3.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,75.0,57.35,3.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,76.0,57.613,3.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,77.0,57.473,3.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,78.0,57.728,3.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,79.0,57.55,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,80.0,57.522,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,81.0,57.529,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,82.0,57.557,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,83.0,57.466,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,84.0,57.532,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,85.0,57.546,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,86.0,57.521,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,87.0,57.52,2.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Lance Stroll,1.0,80.518,8.0,Sakhir,0.86,0.71,0.6,0.0,0,0,0,21.0,Clear
Lance Stroll,2.0,94.619,6.0,Sakhir,0.86,0.71,0.6,0.0,0,0,0,21.0,Clear
