driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Charles Leclerc,31.0,69.479,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,32.0,69.263,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,33.0,68.973,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,34.0,69.184,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,35.0,69.112,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,36.0,69.126,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,37.0,69.12,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,38.0,69.103,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,39.0,69.218,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,40.0,69.581,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,41.0,69.129,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,42.0,69.031,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,43.0,68.781,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,44.0,69.153,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,45.0,69.085,7.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,46.0,84.7,7.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,47.0,107.833,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,48.0,104.214,7.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
