driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Kevin Magnussen,38.0,100.94,11.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,39.0,101.305,11.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,40.0,100.973,11.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,41.0,100.841,11.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,42.0,115.541,12.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,43.0,100.803,12.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,44.0,100.891,12.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,45.0,100.824,12.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,46.0,100.626,12.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,47.0,101.604,11.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,48.0,105.463,12.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,49.0,101.757,12.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,50.0,101.021,12.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,51.0,101.768,12.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,52.0,100.38,12.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Sebastian Vettel,1.0,145.469,15.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,6.0,104.022,13.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,7.0,103.788,13.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,8.0,103.393,13.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,9.0,103.518,13.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,10.0,103.524,13.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,11.0,102.867,13.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,12.0,102.947,13.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,13.0,102.805,13.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,14.0,103.166,13.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,15.0,102.573,13.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,16.0,102.364,11.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
